spot_id,size,is_sipnstroll,nearby_sns_count,avg_sns_proximity,poi_count,avg_poi_distance,poi_weight,matching_paths_count
01BS8Q3ZFlLWq3FtB6UU,1,1,1.0,43.66650831002719,18,50.21436200345178,75,4
0jiXXxUpTeHhhFoDiGu8,2,1,11.0,61.13101748110146,18,56.137865560888855,60,3
1HB4RWnlDsitlpvngRFT,2,0,0.0,0.0,15,47.45776484062365,33,3
29t1kAmn2CaIa0L2P73t,5,1,5.0,65.75032864373016,18,58.6233516354138,45,5
2BmEtmKgHDvD15N1YwLl,3,0,0.0,0.0,9,55.23875186981708,33,4
2MWToAN1xWHFb4BCNHXk,4,0,0.0,0.0,3,50.376377574698914,18,0
2tnuhutovCU5h3zRFQbJ,5,0,0.0,0.0,18,26.68119364531417,34,4
3xGv7gyIgT4gn6hTsDGQ,2,1,4.0,59.75751143273216,18,44.18158686243707,71,3
4RLG5ikDWlDa2t7mhnt8,3,0,0.0,0.0,18,44.23363913450924,40,3
54CFTzgjytB6vLUSpZLM,5,0,1.0,95.53042257534922,18,64.35504294461593,55,4
54m0ztDrAsw8DaRU6VFz,1,0,0.0,0.0,18,44.57224586351256,61,5
5DQTbVKzKYIwGlxwAGRP,3,1,1.0,83.8728419727132,18,52.55264757477576,52,5
6TkRh54t0VgYtOcbxqpU,2,0,0.0,0.0,11,58.92419882425617,21,3
6yBVJKXStkCCUrsO5kme,1,0,0.0,0.0,18,42.62529675991696,50,3
8wu8GKQ5LmUngvcUtkbI,1,1,2.0,45.218521158159206,18,46.1858577945465,52,3
95KCDruj5aIZnalWbIsQ,2,0,0.0,0.0,15,42.22287163889248,44,3
A2x1EE7Lljz1mT5I93fa,3,0,0.0,0.0,18,41.16826359041053,60,5
BDTYFKGvzSBN1tKzDUmx,1,0,0.0,0.0,18,45.01779366940355,48,3
BH8wJpaEmTDjD8nFcnBb,1,1,2.0,80.45460690169395,18,31.80688325192471,85,2
BrOkx4R7siBNnCwyWW7I,3,1,6.0,59.4952093026106,18,42.31847721397774,45,3
Cd6nQl6aQzLogGevmeou,2,0,0.0,0.0,6,59.63446692667996,15,4
EB4drRopi1u1cHLekXQM,4,0,0.0,0.0,2,6.933256002482335,10,2
ExlPJuQUuyuLfHL6Ciei,1,1,0.0,0.0,18,48.90038651822786,55,3
FGKLt0f9HR0f3pPGZZYN,5,1,0.0,0.0,8,54.08411423790084,21,5
H0HIOYQBXruS5mW2C7Ec,1,1,1.0,49.12271157446175,18,31.93195905456001,83,1
I51RGieNiSFDwrXbummS,2,0,0.0,0.0,18,52.735669252110256,62,4
Id04gbFYJNRs0p2HDFxK,1,1,0.0,0.0,17,47.38229994329501,48,2
KUmCTbDqocu9nshddx44,2,1,6.0,43.35599102443911,13,41.459923877105886,79,2
KiIKud9kdkwtTkRAXMZE,4,0,0.0,0.0,11,49.48679598189201,33,5
LaxadmdCwLwB6m4hZBKb,3,1,2.0,96.73894324568056,6,36.79695396026023,18,5
MWGm0Ek4VMj7s2dgVnX4,2,0,0.0,0.0,18,46.63772366808788,52,1
Nb1L7P3qyMLLjLCB2Ovk,3,0,0.0,0.0,18,63.577749369534544,42,2
ONz3RcVMX7f1ucKUcEwZ,4,0,0.0,0.0,17,34.10166082101848,41,3
OiMaozB0aK1ECFkypDjf,5,0,0.0,0.0,18,44.03373034877282,55,4
QKJFBMIC8M03sPMxUtDS,2,0,0.0,0.0,6,48.488324494133245,23,0
QTL57mAfFg44FvtcVDcY,5,0,0.0,0.0,15,44.92411402049376,55,4
RKhtn3Gr3WYmf4cyaaTT,4,1,6.0,79.13960291705871,16,46.56662844892875,54,2
RQcWLwgIb9fooEdxQap4,3,1,15.0,70.41094358424024,18,38.91485775920116,70,4
S38mmimf5HXK0SAXEMSK,3,0,0.0,0.0,6,56.42304248313433,16,3
UwJH3WQiQ8Te9eWV9f9H,4,0,0.0,0.0,18,38.69446200192874,44,4
WwqDuUwI4b3GmiAvWzER,5,0,0.0,0.0,8,52.76052611980037,25,1
XMo7AYD1SHKkPSdnWRXe,4,1,3.0,69.63803908270485,17,55.01880702197772,69,6
XcJK0IBaU62EcOkpnI8q,4,0,0.0,0.0,6,61.59095437265779,18,2
Z0jBvRQR00gdXWit1vfm,4,0,0.0,0.0,18,39.580426653734186,57,3
ZJIMb6hgPzjT3LW8Rw9r,1,0,0.0,0.0,18,53.27035173491906,54,3
ZUyCEqmfDxslwfl9vWnw,1,0,0.0,0.0,18,43.7299716111332,53,4
adoU6HKGz7PIOVjRV0EI,3,1,5.0,77.72455479475438,18,49.784342238538926,53,3
aiujSQrP78VafzeLiClo,2,0,0.0,0.0,18,28.215417767446816,58,3
bTpXUJhFjevSXU164r8J,3,0,0.0,0.0,18,56.85136151321805,41,2
bsKB2Y6n07fOl3nCAZsm,2,1,0.0,0.0,4,58.06278055048772,14,0
cpWyYDARrbEAfRHhKZ81,1,0,0.0,0.0,18,47.58647166459836,52,3
e4MSAz20zfVluNBwBiIj,1,0,0.0,0.0,18,32.71947915972794,55,2
elWSyteVzeEae6CNab6N,3,1,2.0,75.57196918591112,18,29.12564758089892,93,5
f0BdHYyjyjDlppmzJatp,3,0,0.0,0.0,17,61.07917717494167,45,3
fy2Hsry8x02r8s9W6FY4,2,0,0.0,0.0,18,40.59076073710534,49,3
gOL0sgcgCIvcPKZZysyd,1,1,0.0,0.0,17,50.99617640778872,50,4
gnltz7oGbONnWtXVSiJG,1,0,0.0,0.0,15,51.013151119563695,55,4
h94g0aa3P7wgOtYjq3sD,4,0,0.0,0.0,14,53.60133085318608,61,4
hTLfBjnXsrdLCwdzrdV2,5,1,1.0,59.27998299258759,14,57.65380291776315,52,4
hlGqP5dMRmtRlXi3uaR2,2,0,0.0,0.0,18,35.9846741721066,48,3
jtfhW7hz2mXbeNndwlc3,3,0,0.0,0.0,19,58.78713453660675,50,1
nftY9duMYSTpWPxyYSN2,1,1,2.0,43.01077415359423,18,37.15409719429725,55,1
o76sTsNyY8Y0xoO7ZCdX,4,0,0.0,0.0,12,47.10115757940289,58,1
o8d0MCgRIWZ5x0Zhbhax,2,1,7.0,78.30292451628407,18,39.18198251383077,65,3
p3DBVrF644FCPzithGfA,1,1,6.0,59.26673110753215,18,48.22094702951488,94,4
pRrBue3gfRIw9ehODo7L,3,1,13.0,70.2951410991891,18,46.86814434453658,63,3
qdiglIEbpGJG03owLwVW,2,0,0.0,0.0,6,37.39559478045902,12,1
rTnKUuO34iQRplT5OuTx,1,1,2.0,63.31308324109464,18,42.93619306343268,42,2
s1CznFG9gXjdBc1GOZhZ,3,1,16.0,73.80528445806313,18,43.59090836846914,69,4
s7RHtr6gmRhBLC1a17Tu,3,0,0.0,0.0,8,45.70591741021392,15,2
theQ00irSvLDgBOsEnrm,4,0,0.0,0.0,18,45.83810987040378,81,2
uZwxk8w8z7uYNQ6NEd7p,4,0,0.0,0.0,18,34.456699608866764,43,4
vLfKtAr7HWQEZkWi3OMn,3,0,0.0,0.0,17,36.68616702897424,60,3
vjXscM16UqmNfP4DxLjF,4,0,0.0,0.0,17,54.03588897845776,44,5
vvNogS7UlaeF5sY7Dca3,1,1,6.0,57.50674958184084,18,45.67858478466033,48,3
wE3ugu8HRUWNvx0sqWSO,3,0,0.0,0.0,7,49.83449493027716,9,4
xAgdDxCqRcyuty413RXI,4,1,3.0,54.175579180972726,18,35.3026464591204,45,3
yEkE8BZOv113CHA75bHP,1,0,0.0,0.0,7,52.17941280689573,12,3
yy2A9GMazFHmDOslObzy,3,0,0.0,0.0,18,60.19706226956536,47,2
zCwOtcmTUaZ05EoPbRaM,5,1,1.0,13.84304248097942,13,60.72292186858712,38,5
